"Date","Time","To","From","Direction","Message.Type"
"10/16/17","3:55 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:48 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:47 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:45 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:45 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:45 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:43 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","3:43 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","2:11 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","2:05 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","1:57 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","1:56 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","1:56 PM","703-555-1637","703-555-1760","Received","--"
"10/16/17","1:55 PM","202-555-1219","703-555-1760","Received","--"
"10/16/17","1:55 PM","202-555-1219","703-555-1760","Received","--"
"10/16/17","12:38 PM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","12:37 PM","703-555-1760","703-555-2508","Received","--"
"10/16/17","11:35 AM","703-555-1760","202-555-1219","Received","--"
"10/16/17","11:34 AM","202-555-1219","703-555-1760","Sent","--"
"10/16/17","11:19 AM","703-555-1760","202-555-1219","Received","--"
"10/16/17","7:50 AM","703-555-1637","703-555-1760","Sent","--"
"10/16/17","7:42 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","7:41 AM","703-555-1760","703-555-2508","Received","--"
"10/16/17","7:41 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","7:40 AM","703-555-1760","703-555-2508","Received","--"
"10/16/17","7:40 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","7:40 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","7:39 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","7:39 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","7:39 AM","703-555-1760","703-555-2508","Received","--"
"10/16/17","7:38 AM","703-555-2508","703-555-1760","Sent","--"
"10/16/17","4:30 AM","202-555-1219","703-555-1760","Sent","--"
"10/16/17","4:30 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/16/17","10:40 AM","703-555-1760","703-555-2508@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/16/17","10:39 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/15/17","10:26 PM","703-555-2508","7035551760","Sent","Picture/Video"
"10/14/17","2:51 PM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","2:24 PM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:33 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:32 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:30 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:26 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:16 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:15 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:15 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:14 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:14 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:13 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:13 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:12 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:10 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:10 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","10:10 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:10 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:09 AM","703-555-1760","202-555-1219","Received","Text"
"10/14/17","10:00 AM","202-555-1219","703-555-1760","Sent","Text"
"10/14/17","5:32 AM","703-555-1760","703-555-2508","Received","Text"
"10/14/17","5:21 AM","703-555-2508","703-555-1760","Sent","Text"
"10/14/17","5:21 AM","703-555-1760","703-555-2508","Received","Text"
"10/14/17","5:20 AM","703-555-2508","7035551760","Sent","Picture/Video"
"10/14/17","4:19 PM","703-555-2508","7035551760","Sent","Picture/Video"
"10/14/17","4:19 PM","703-555-2508","7035551760","Sent","Picture/Video"
"10/13/17","4:16 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","3:40 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","3:24 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","12:50 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","12:49 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","12:48 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","12:45 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","12:44 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","12:39 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","12:31 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","12:31 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","12:31 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","12:30 PM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","12:29 PM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","11:31 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","11:27 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","11:27 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","11:26 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","11:11 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","11:11 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","11:09 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","11:09 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","10:37 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","10:37 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","10:37 AM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","10:22 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","10:21 AM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","10:20 AM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","9:59 AM","703-555-1760","703-555-2508","Received","Text"
"10/13/17","8:57 AM","703-555-2508","703-555-1760","Sent","Text"
"10/13/17","8:52 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:51 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","8:51 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:50 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","8:48 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:47 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:47 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:38 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","8:37 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:33 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","8:30 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","8:30 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","7:57 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","7:48 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","7:45 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","7:44 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","7:26 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","7:04 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","7:04 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","6:59 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","6:53 AM","202-555-1219","703-555-1760","Sent","Text"
"10/13/17","6:33 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","6:32 AM","703-555-1760","202-555-1219","Received","Text"
"10/13/17","4:56 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","4:48 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","4:48 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","4:44 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","4:44 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","4:44 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","4:42 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/13/17","4:41 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","4:41 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","4:41 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","4:41 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","4:41 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","4:41 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","4:41 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/13/17","4:40 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","4:39 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","4:39 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","4:39 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","4:39 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","4:38 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/13/17","4:36 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","4:36 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","4:36 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","4:31 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","4:31 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/13/17","4:31 PM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/13/17","4:29 PM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","4:29 PM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","4:29 PM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","4:29 PM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/13/17","7:13 AM","716-555-1105","7035551760","Sent","Picture/Video"
"10/13/17","7:13 AM","810-555-0565","7035551760","Sent","Picture/Video"
"10/13/17","7:13 AM","240-555-1499","7035551760","Sent","Picture/Video"
"10/13/17","6:34 AM","703-555-1760","240-555-1499@icmms1.star5.lightspeed.net","Received","Picture/Video"
"10/13/17","12:27 AM","703-555-1760","810-555-0565","Received","Picture/Video"
"10/12/17","10:32 AM","703-555-1760","703-555-2508","Received","Text"
